"Event Type : Full Waveform"
"Serial Number : UM16124"
"Version :  V 10-89 Micromate ISEE"
"File Name : UM16124_20260626154118(1).IDFW"
"Event Time : 15:41:18"
"Event Date : June 26, 2026"
"Trigger : Vert"
"Geo Trigger Level : 1.000 mm/s"
"Pre-trigger Length : -0.500 sec"
"Record Time : 3.0 sec"
"Record Stop Mode : Fixed"
"Sample Rate : 4096 sps"
"Battery Level : 3.6 Volts"
"Calibration : December 20, 2019 by Instantel"
"Units : mm/s and "
"Operator : Operator"
"Setup : factory.MMB"
"Location: : "
"Client: : "
"User Name: : "
"General: : "
"Geo Range : 254.0 mm/s"
"Tran PPV : 6.164 mm/s"
"Vert PPV : 13.36 mm/s"
"Long PPV : 7.070 mm/s"
"Tran ZC Freq : 28.8 Hz"
"Vert ZC Freq : 25.6 Hz"
"Long ZC Freq : 20.5 Hz"
"Tran Time of Peak : 0.045 sec"
"Vert Time of Peak : 0.055 sec"
"Long Time of Peak : 0.032 sec"
"Tran Peak Acceleration : 0.161 g"
"Vert Peak Acceleration : 0.247 g"
"Long Peak Acceleration : 0.174 g"
"Tran Peak Displacement : 0.034 mm"
"Vert Peak Displacement : 0.075 mm"
"Long Peak Displacement : 0.048 mm"
"Peak Vector Sum : 13.70 mm/s"
"Peak Vector Sum Time : 0.054 sec"
"Tran  Test Results : Disabled"
"Vert  Test Results : Disabled"
"Long  Test Results : Disabled"
"PC SW Version : V 10.74"

   Tran   	   Vert   	   Long   
0.087     	-0.063    	-0.008    
0.063     	-0.071    	0.008     
0.079     	-0.071    	-0.008    
0.087     	-0.063    	0.008     
0.071     	-0.071    	0.008     
0.079     	-0.063    	0.016     
0.079     	-0.047    	0.016     
0.071     	-0.047    	0.000     
0.055     	-0.055    	-0.016    
0.079     	-0.071    	0.000     
0.079     	-0.047    	-0.008    
0.087     	-0.047    	0.000     
0.079     	-0.047    	0.000     
0.087     	-0.055    	-0.016    
0.079     	-0.055    	0.000     
0.063     	-0.055    	0.008     
0.063     	-0.055    	0.008     
0.079     	-0.063    	0.008     
0.071     	-0.055    	0.016     
0.079     	-0.063    	0.024     
0.063     	-0.047    	0.016     
0.063     	-0.063    	0.032     
0.039     	-0.047    	0.024     
0.063     	-0.063    	0.016     
0.055     	-0.047    	0.016     
0.055     	-0.055    	0.024     
0.039     	-0.063    	0.016     
0.055     	-0.063    	0.016     
0.039     	-0.071    	0.000     
0.032     	-0.055    	0.024     
0.047     	-0.055    	0.016     
0.039     	-0.032    	0.032     
0.032     	-0.047    	0.024     
0.047     	-0.047    	0.016     
0.039     	-0.039    	0.024     
0.032     	-0.047    	0.024     
0.024     	-0.047    	0.016     
0.024     	-0.032    	0.016     
0.008     	-0.039    	0.016     
0.008     	-0.039    	0.008     
0.016     	-0.039    	0.008     
0.024     	-0.039    	0.016     
0.024     	-0.047    	0.000     
0.024     	-0.039    	0.024     
0.047     	-0.032    	0.024     
0.039     	-0.047    	0.008     
0.047     	-0.032    	0.032     
0.047     	-0.024    	0.016     
0.047     	-0.024    	0.032     
0.032     	-0.032    	0.024     
0.039     	-0.055    	0.000     
0.032     	-0.032    	0.008     
0.032     	-0.024    	0.000     
0.055     	-0.008    	0.008     
0.079     	-0.016    	0.000     
0.071     	-0.016    	0.008     
0.063     	0.000     	0.000     
0.055     	-0.008    	-0.016    
0.071     	-0.016    	-0.016    
0.071     	-0.008    	0.000     
0.063     	-0.016    	-0.016    
0.063     	-0.032    	-0.016    
0.071     	-0.032    	-0.016    
0.071     	-0.039    	-0.016    
0.063     	-0.039    	-0.016    
0.071     	-0.039    	-0.008    
0.063     	-0.024    	0.000     
0.079     	-0.032    	-0.008    
0.079     	-0.024    	-0.016    
0.079     	-0.032    	0.000     
0.087     	-0.024    	-0.008    
0.087     	-0.024    	0.000     
0.071     	-0.024    	-0.008    
0.079     	-0.032    	-0.016    
0.063     	-0.039    	-0.024    
0.079     	-0.024    	-0.016    
0.071     	-0.024    	-0.024    
0.071     	-0.032    	-0.016    
0.079     	-0.032    	0.000     
0.071     	-0.032    	-0.008    
0.071     	-0.032    	-0.008    
0.063     	-0.032    	-0.008    
0.055     	-0.039    	-0.008    
0.063     	-0.032    	-0.008    
0.063     	-0.024    	-0.016    
0.063     	-0.024    	0.016     
0.047     	-0.024    	-0.008    
0.039     	-0.047    	-0.008    
0.055     	-0.024    	-0.008    
0.063     	-0.024    	0.000     
0.055     	-0.024    	-0.016    
0.047     	-0.047    	-0.008    
0.039     	-0.047    	-0.008    
0.047     	-0.032    	-0.008    
0.063     	-0.032    	-0.008    
0.047     	-0.016    	0.008     
0.047     	-0.008    	0.000     
0.063     	-0.024    	-0.008    
0.039     	-0.008    	0.008     
0.032     	-0.016    	0.008     
0.016     	-0.008    	0.008     
0.024     	-0.039    	0.000     
0.008     	-0.016    	0.008     
0.016     	0.000     	0.016     
0.032     	-0.032    	-0.008    
0.016     	-0.039    	0.016     
0.024     	-0.032    	0.008     
0.032     	-0.016    	0.024     
0.047     	-0.016    	0.016     
0.032     	-0.024    	0.008     
0.063     	-0.008    	0.016     
0.032     	-0.016    	0.008     
0.047     	-0.016    	0.000     
0.039     	-0.016    	0.016     
0.039     	-0.016    	0.016     
0.039     	-0.016    	0.008     
0.032     	-0.016    	0.000     
0.032     	-0.024    	0.000     
0.008     	0.000     	0.000     
0.024     	0.008     	0.008     
0.008     	0.016     	0.000     
0.000     	0.016     	0.008     
0.008     	0.016     	0.008     
0.008     	-0.008    	0.016     
0.016     	0.000     	0.008     
0.024     	-0.008    	0.016     
0.024     	0.008     	0.008     
0.032     	-0.008    	0.016     
0.032     	-0.008    	0.016     
0.047     	-0.008    	0.008     
0.039     	-0.008    	0.008     
0.039     	-0.024    	0.016     
0.047     	0.000     	0.016     
0.039     	0.000     	0.000     
0.047     	0.016     	0.016     
0.055     	0.016     	0.008     
0.047     	0.008     	-0.016    
0.047     	0.016     	0.000     
0.055     	0.000     	-0.008    
0.047     	0.000     	0.000     
0.063     	0.000     	0.008     
0.079     	0.000     	0.008     
0.063     	-0.008    	0.016     
0.063     	0.000     	0.008     
0.039     	0.008     	-0.008    
0.063     	0.000     	0.000     
0.055     	0.016     	-0.016    
0.063     	0.016     	-0.008    
0.071     	-0.008    	-0.008    
0.055     	0.000     	-0.016    
0.055     	0.016     	-0.008    
0.039     	0.000     	-0.008    
0.055     	0.000     	-0.016    
0.055     	-0.024    	0.000     
0.063     	-0.016    	0.016     
0.063     	-0.008    	0.016     
0.063     	-0.016    	0.000     
0.063     	-0.032    	0.016     
0.071     	-0.008    	0.016     
0.071     	-0.016    	0.024     
0.071     	-0.024    	0.016     
0.063     	-0.024    	0.024     
0.063     	-0.016    	0.016     
0.071     	0.000     	0.016     
0.063     	-0.016    	0.016     
0.063     	-0.032    	0.016     
0.055     	-0.016    	0.016     
0.055     	-0.024    	0.008     
0.079     	-0.024    	0.016     
0.071     	-0.024    	0.000     
0.063     	-0.024    	0.016     
0.071     	-0.032    	0.008     
0.079     	-0.039    	0.008     
0.071     	-0.024    	0.008     
0.063     	-0.039    	0.000     
0.063     	-0.032    	-0.016    
0.055     	-0.039    	0.008     
0.055     	-0.032    	-0.008    
0.055     	-0.032    	0.000     
0.071     	-0.047    	0.000     
0.055     	-0.024    	0.008     
0.063     	-0.032    	0.000     
0.063     	-0.024    	0.008     
0.047     	-0.016    	0.016     
0.047     	-0.016    	-0.008    
0.032     	0.000     	0.024     
0.047     	-0.024    	0.008     
0.039     	-0.032    	0.008     
0.032     	-0.039    	0.024     
0.047     	-0.024    	0.016     
0.047     	-0.024    	0.016     
0.039     	-0.032    	0.008     
0.055     	-0.024    	0.016     
0.063     	-0.024    	0.008     
0.055     	-0.032    	0.000     
0.055     	-0.024    	0.032     
0.039     	-0.016    	0.016     
0.039     	-0.024    	0.000     
0.024     	-0.032    	0.000     
0.032     	-0.016    	0.016     
0.063     	-0.024    	0.008     
0.055     	0.000     	0.024     
0.071     	-0.024    	0.016     
0.055     	-0.016    	0.008     
0.039     	-0.032    	-0.016    
0.039     	-0.039    	-0.032    
0.063     	-0.039    	0.000     
0.071     	-0.024    	0.008     
0.055     	-0.024    	0.016     
0.055     	-0.024    	0.008     
0.063     	0.000     	0.016     
0.055     	-0.024    	0.016     
0.063     	-0.032    	0.016     
0.063     	-0.032    	0.024     
0.055     	-0.039    	-0.016    
0.063     	-0.008    	0.008     
0.063     	-0.016    	-0.024    
0.063     	-0.039    	0.000     
0.063     	-0.016    	-0.016    
0.063     	-0.024    	0.008     
0.047     	-0.024    	0.008     
0.055     	-0.016    	0.032     
0.063     	-0.008    	0.024     
0.063     	-0.008    	0.032     
0.055     	-0.024    	0.032     
0.063     	-0.024    	0.016     
0.087     	-0.024    	0.032     
0.087     	-0.016    	0.024     
0.087     	-0.016    	0.008     
0.087     	-0.016    	0.000     
0.079     	-0.032    	0.000     
0.087     	-0.024    	0.016     
0.087     	-0.008    	0.016     
0.095     	0.000     	0.016     
0.095     	-0.016    	0.032     
0.087     	-0.008    	0.032     
0.079     	-0.008    	0.024     
0.079     	-0.008    	0.039     
0.071     	-0.008    	0.039     
0.079     	-0.016    	0.032     
0.063     	-0.016    	0.008     
0.063     	0.000     	0.016     
0.063     	-0.024    	0.000     
0.055     	-0.024    	0.016     
0.055     	-0.016    	0.008     
0.063     	-0.024    	-0.008    
0.055     	-0.008    	0.008     
0.071     	-0.024    	0.000     
0.063     	-0.024    	0.008     
0.063     	-0.016    	-0.008    
0.063     	-0.016    	0.008     
0.063     	0.000     	0.008     
0.071     	0.000     	0.016     
0.087     	0.008     	0.008     
0.071     	-0.008    	0.016     
0.071     	-0.016    	0.024     
0.087     	0.000     	0.016     
0.079     	-0.016    	0.008     
0.087     	0.000     	0.000     
0.087     	0.008     	0.008     
0.079     	0.000     	-0.024    
0.087     	0.016     	-0.008    
0.095     	0.000     	0.000     
0.087     	0.016     	-0.008    
0.087     	0.016     	0.008     
0.079     	0.024     	-0.008    
0.071     	0.016     	0.000     
0.087     	0.016     	0.000     
0.079     	0.024     	0.008     
0.063     	0.024     	0.000     
0.079     	0.024     	0.000     
0.071     	0.024     	0.000     
0.071     	-0.008    	-0.008    
0.063     	0.016     	-0.024    
0.071     	0.000     	-0.016    
0.063     	0.016     	-0.016    
0.063     	0.016     	-0.024    
0.063     	0.024     	-0.024    
0.087     	0.024     	-0.016    
0.079     	0.000     	-0.016    
0.079     	0.016     	-0.016    
0.087     	0.016     	-0.008    
0.055     	0.008     	0.016     
0.079     	0.016     	0.008     
0.063     	0.000     	0.016     
0.079     	0.008     	0.000     
0.079     	0.016     	-0.008    
0.079     	0.016     	0.008     
0.087     	0.032     	0.000     
0.079     	0.008     	-0.008    
0.087     	0.032     	0.000     
0.087     	0.016     	0.000     
0.087     	0.000     	0.000     
0.087     	0.000     	-0.008    
0.087     	0.000     	0.000     
0.095     	0.000     	0.000     
0.087     	0.000     	0.000     
0.095     	-0.016    	0.016     
0.079     	-0.008    	0.000     
0.087     	-0.024    	0.008     
0.079     	-0.016    	0.000     
0.079     	-0.032    	0.000     
0.087     	-0.024    	0.016     
0.079     	-0.024    	0.016     
0.087     	-0.016    	0.008     
0.095     	0.000     	0.039     
0.079     	-0.008    	0.032     
0.071     	-0.016    	0.016     
0.071     	-0.016    	0.016     
0.071     	-0.008    	0.032     
0.063     	-0.008    	0.016     
0.079     	-0.008    	0.032     
0.079     	-0.024    	0.032     
0.071     	-0.016    	0.032     
0.071     	-0.024    	0.024     
0.055     	-0.016    	0.024     
0.055     	-0.032    	0.032     
0.063     	-0.016    	0.047     
0.055     	-0.024    	0.032     
0.039     	-0.016    	0.032     
0.071     	-0.024    	0.032     
0.063     	-0.032    	0.039     
0.071     	-0.016    	0.032     
0.071     	-0.016    	0.016     
0.063     	-0.008    	0.032     
0.071     	-0.016    	0.039     
0.071     	0.000     	0.047     
0.063     	0.000     	0.055     
0.079     	-0.008    	0.032     
0.063     	-0.016    	0.032     
0.039     	-0.016    	0.047     
0.063     	-0.024    	0.039     
0.063     	-0.024    	0.039     
0.071     	-0.024    	0.032     
0.039     	-0.024    	0.024     
0.079     	-0.008    	0.016     
0.063     	-0.024    	0.016     
0.063     	-0.032    	0.016     
0.063     	-0.016    	0.032     
0.047     	-0.016    	0.032     
0.063     	-0.016    	0.024     
0.047     	-0.024    	0.008     
0.047     	-0.039    	0.016     
0.055     	-0.024    	0.016     
0.079     	-0.032    	0.016     
0.071     	-0.032    	0.016     
0.055     	-0.024    	0.008     
0.039     	-0.039    	0.000     
0.047     	-0.039    	-0.008    
0.039     	-0.032    	-0.016    
0.063     	-0.039    	0.000     
0.071     	-0.039    	-0.016    
0.071     	-0.039    	-0.024    
0.079     	-0.047    	-0.008    
0.071     	-0.024    	0.000     
0.079     	-0.039    	0.000     
0.071     	-0.039    	-0.008    
0.095     	-0.032    	0.008     
0.071     	-0.024    	0.008     
0.063     	-0.032    	0.000     
0.087     	-0.039    	-0.008    
0.079     	-0.016    	-0.008    
0.079     	-0.024    	0.000     
0.063     	-0.008    	0.000     
0.063     	-0.016    	0.000     
0.079     	-0.016    	0.016     
0.071     	-0.008    	0.016     
0.079     	-0.024    	-0.016    
0.071     	-0.024    	0.016     
0.087     	-0.016    	0.008     
0.087     	-0.008    	0.016     
0.102     	-0.008    	0.016     
0.087     	-0.024    	0.032     
0.087     	-0.032    	0.024     
0.095     	-0.008    	0.008     
0.087     	0.000     	0.024     
0.071     	-0.016    	0.008     
0.063     	-0.024    	0.008     
0.071     	-0.008    	0.016     
0.071     	-0.008    	0.000     
0.071     	-0.016    	0.032     
0.071     	-0.032    	0.008     
0.079     	-0.032    	0.016     
0.087     	-0.032    	0.024     
0.087     	-0.039    	0.008     
0.087     	-0.032    	0.000     
0.087     	-0.016    	0.008     
0.087     	-0.016    	0.008     
0.095     	-0.016    	0.008     
0.087     	-0.016    	0.000     
0.087     	-0.016    	0.000     
0.087     	-0.016    	0.008     
0.095     	-0.016    	0.008     
0.087     	-0.016    	-0.008    
0.095     	-0.008    	-0.008    
0.087     	-0.016    	-0.008    
0.095     	-0.008    	0.000     
0.079     	-0.024    	-0.032    
0.087     	-0.024    	-0.016    
0.095     	-0.016    	-0.032    
0.079     	-0.008    	-0.032    
0.063     	-0.008    	-0.016    
0.079     	-0.016    	-0.016    
0.063     	-0.008    	-0.008    
0.071     	-0.024    	-0.008    
0.079     	-0.024    	0.008     
0.055     	-0.047    	0.016     
0.055     	-0.032    	0.000     
0.063     	-0.024    	0.008     
0.055     	-0.024    	0.024     
0.047     	-0.016    	0.016     
0.047     	-0.047    	0.000     
0.047     	-0.024    	0.032     
0.047     	-0.032    	0.016     
0.047     	-0.024    	0.024     
0.032     	-0.039    	0.024     
0.055     	-0.039    	0.016     
0.047     	-0.032    	0.016     
0.047     	-0.047    	0.000     
0.039     	-0.063    	0.016     
0.047     	-0.055    	0.024     
0.055     	-0.063    	0.024     
0.055     	-0.063    	0.039     
0.047     	-0.055    	0.032     
0.047     	-0.063    	0.039     
0.047     	-0.055    	0.039     
0.055     	-0.039    	0.047     
0.063     	-0.047    	0.032     
0.055     	-0.047    	0.024     
0.063     	-0.047    	0.016     
0.063     	-0.055    	0.024     
0.079     	-0.055    	0.016     
0.071     	-0.055    	0.008     
0.079     	-0.047    	0.016     
0.087     	-0.047    	0.008     
0.087     	-0.047    	0.032     
0.063     	-0.055    	0.024     
0.063     	-0.024    	0.016     
0.071     	-0.032    	0.024     
0.079     	-0.032    	0.016     
0.055     	-0.024    	0.008     
0.055     	-0.024    	0.024     
0.063     	-0.024    	0.008     
0.063     	-0.024    	0.008     
0.071     	-0.016    	0.016     
0.055     	-0.032    	0.016     
0.063     	-0.024    	0.008     
0.063     	-0.016    	0.008     
0.079     	0.008     	0.008     
0.071     	0.008     	0.016     
0.071     	0.016     	0.016     
0.055     	0.016     	0.024     
0.047     	0.008     	0.016     
0.039     	-0.008    	0.024     
0.055     	0.016     	0.016     
0.055     	0.000     	0.016     
0.055     	-0.008    	0.008     
0.063     	0.016     	0.024     
0.047     	0.000     	0.016     
0.071     	0.008     	0.016     
0.071     	0.016     	0.032     
0.055     	0.016     	0.032     
0.055     	0.000     	0.016     
0.047     	0.000     	0.008     
0.039     	-0.016    	0.016     
0.047     	-0.024    	0.024     
0.063     	0.000     	0.008     
0.063     	-0.024    	0.008     
0.079     	-0.016    	0.016     
0.079     	0.000     	0.024     
0.063     	-0.016    	0.016     
0.055     	-0.016    	0.008     
0.063     	-0.008    	0.008     
0.063     	-0.024    	0.016     
0.079     	-0.008    	0.024     
0.079     	-0.016    	0.024     
0.063     	-0.024    	0.000     
0.071     	-0.016    	0.000     
0.079     	0.000     	0.000     
0.071     	-0.024    	0.016     
0.071     	-0.016    	0.008     
0.071     	-0.008    	0.016     
0.071     	-0.008    	0.008     
0.055     	-0.016    	0.000     
0.047     	0.000     	-0.008    
0.055     	-0.008    	0.008     
0.047     	0.016     	0.000     
0.055     	0.000     	0.008     
0.071     	0.008     	0.008     
0.063     	0.000     	0.000     
0.079     	0.000     	0.000     
0.055     	-0.016    	-0.016    
0.063     	-0.016    	-0.008    
0.063     	-0.008    	-0.008    
0.071     	-0.016    	-0.016    
0.047     	-0.024    	-0.008    
0.079     	-0.016    	0.000     
0.055     	-0.032    	0.000     
0.055     	-0.039    	0.000     
0.055     	-0.032    	-0.016    
0.055     	-0.024    	-0.016    
0.047     	-0.032    	-0.016    
0.032     	-0.032    	0.000     
0.047     	-0.016    	0.008     
0.047     	-0.024    	0.008     
0.063     	-0.016    	0.008     
0.039     	-0.008    	0.000     
0.039     	-0.032    	0.008     
0.063     	-0.032    	0.032     
0.063     	-0.008    	0.039     
0.055     	-0.016    	0.032     
0.039     	-0.024    	0.039     
0.055     	-0.039    	0.024     
0.055     	-0.024    	0.016     
0.063     	-0.039    	0.024     
0.055     	-0.055    	0.016     
0.055     	-0.063    	0.016     
0.039     	-0.055    	0.008     
0.039     	-0.039    	0.016     
0.063     	-0.039    	0.032     
0.063     	-0.032    	0.016     
0.071     	-0.039    	0.039     
0.063     	-0.047    	0.024     
0.055     	-0.047    	0.016     
0.047     	-0.055    	0.016     
0.063     	-0.039    	0.024     
0.063     	-0.016    	0.016     
0.055     	-0.024    	0.016     
0.071     	-0.024    	0.032     
0.063     	-0.024    	0.032     
0.055     	-0.039    	0.016     
0.047     	-0.032    	0.000     
0.039     	-0.032    	0.008     
0.039     	-0.024    	0.016     
0.039     	-0.016    	0.016     
0.024     	-0.008    	0.024     
0.032     	-0.016    	0.024     
